"group_code","group_name","fri_codes_included","ecological_guild","climate_zone","topographic_position","elevation_niche","moisture_regime","soil_substrate","shade_tolerance","successional_stage","inventory_importance","formatted_description"
"SB_BLACK_SPRUCE","Black Spruce","SB","Boreal Lowland / Peatland Specialist Conifer","Boreal to subarctic cold climates","Lowland depressions, valley bottoms, organic peat bogs","Lowland to mid-elevation flat terrain","Hydric to wet-mesic","Acidic organic peat, cold poorly drained soils","Tolerant","Climax species in peatlands","High - Major commercial boreal pulp & sawlog species","Tree Group: Black Spruce (FRI Codes: SB). Ecological Guild: Boreal Lowland / Peatland Specialist Conifer. Climate Niche: Thrives in Boreal to subarctic cold climates. Topography & Elevation: Found in Lowland depressions, valley bottoms, organic peat bogs; Lowland to mid-elevation flat terrain. Soil & Hydrology: Prefers Hydric to wet-mesic moisture regimes and Acidic organic peat, cold poorly drained soils. Ecological Traits: Tolerant shade tolerance; Climax species in peatlands."
"SW_WHITE_SPRUCE","White Spruce","SW","Upland Boreal / Temperate Spruce","Boreal to cool temperate climates","Well-drained riverbanks, upland slopes, lake margins","Lowland terraces to mid-elevation upland slopes","Mesic","Rich loams, alluvial silt, well-drained clays","Tolerant","Climax upland species","High - Major commercial sawlog & pulpwood species","Tree Group: White Spruce (FRI Codes: SW). Ecological Guild: Upland Boreal / Temperate Spruce. Climate Niche: Thrives in Boreal to cool temperate climates. Topography & Elevation: Found in Well-drained riverbanks, upland slopes, lake margins; Lowland terraces to mid-elevation upland slopes. Soil & Hydrology: Prefers Mesic moisture regimes and Rich loams, alluvial silt, well-drained clays. Ecological Traits: Tolerant shade tolerance; Climax upland species."
"SR_RED_SPRUCE","Red Spruce","SR","Cool Montane / Humid Temperate Spruce","Cool humid temperate climates","Cool moist mountain slopes, shaded plateaus, upland ravines","Mid-to-high elevation uplands","Mesic to wet-mesic","Acidic, cool, moist organic or sandy loams","Very tolerant","Late-successional climax species","Medium - Regional timber species in Great Lakes-St. Lawrence zone","Tree Group: Red Spruce (FRI Codes: SR). Ecological Guild: Cool Montane / Humid Temperate Spruce. Climate Niche: Thrives in Cool humid temperate climates. Topography & Elevation: Found in Cool moist mountain slopes, shaded plateaus, upland ravines; Mid-to-high elevation uplands. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Acidic, cool, moist organic or sandy loams. Ecological Traits: Very tolerant shade tolerance; Late-successional climax species."
"PJ_JACK_PINE","Jack Pine","PJ","Dry Sandy Upland / Fire Pioneer Conifer","Boreal to cool temperate climates","Dry sandy plains, rocky ridges, glaciated outwash plains","Upland flats and rocky crests","Xeric to dry-mesic","Coarse sandy loams, shallow soils over bedrock","Very intolerant","Fire-adapted pioneer species","High - Major commercial boreal softwood species","Tree Group: Jack Pine (FRI Codes: PJ). Ecological Guild: Dry Sandy Upland / Fire Pioneer Conifer. Climate Niche: Thrives in Boreal to cool temperate climates. Topography & Elevation: Found in Dry sandy plains, rocky ridges, glaciated outwash plains; Upland flats and rocky crests. Soil & Hydrology: Prefers Xeric to dry-mesic moisture regimes and Coarse sandy loams, shallow soils over bedrock. Ecological Traits: Very intolerant shade tolerance; Fire-adapted pioneer species."
"PW_WHITE_PINE","Eastern White Pine","PW","Great Lakes Temperate Upland Pine","Great Lakes-St. Lawrence temperate climates","Rolling upland hills, sandy plains, river valleys, lake ridges","Lowland terraces to high ridges","Dry-mesic to mesic","Well-drained sandy to loamy soils","Intermediate","Mid-to-late successional canopy giant","High - Provincial tree of Ontario, premium sawlog species","Tree Group: Eastern White Pine (FRI Codes: PW). Ecological Guild: Great Lakes Temperate Upland Pine. Climate Niche: Thrives in Great Lakes-St. Lawrence temperate climates. Topography & Elevation: Found in Rolling upland hills, sandy plains, river valleys, lake ridges; Lowland terraces to high ridges. Soil & Hydrology: Prefers Dry-mesic to mesic moisture regimes and Well-drained sandy to loamy soils. Ecological Traits: Intermediate shade tolerance; Mid-to-late successional canopy giant."
"PR_RED_PINE","Red Pine","PR","Dry Upland Sandy Pine","Great Lakes-St. Lawrence temperate climates","Sandy outwash plains, rocky ridges, dry uplands, plantations","Upland plateaus and crests","Xeric to dry-mesic","Coarse dry acidic sands and gravelly loams","Intolerant","Early-to-mid successional species","High - Major commercial plantation & natural pine species","Tree Group: Red Pine (FRI Codes: PR). Ecological Guild: Dry Upland Sandy Pine. Climate Niche: Thrives in Great Lakes-St. Lawrence temperate climates. Topography & Elevation: Found in Sandy outwash plains, rocky ridges, dry uplands, plantations; Upland plateaus and crests. Soil & Hydrology: Prefers Xeric to dry-mesic moisture regimes and Coarse dry acidic sands and gravelly loams. Ecological Traits: Intolerant shade tolerance; Early-to-mid successional species."
"BF_BALSAM_FIR","Balsam Fir","BF","Shade-Tolerant Boreal / Montane Conifer","Boreal to cool temperate climates","Moist lowlands, cold mountain slopes, river valleys, shaded understory","Lowland flats to high mountain ridges","Mesic to hydric","Cool moist acidic organic soils and heavy loams","Very tolerant","Climax understory/canopy species","High - Widespread boreal softwood species","Tree Group: Balsam Fir (FRI Codes: BF). Ecological Guild: Shade-Tolerant Boreal / Montane Conifer. Climate Niche: Thrives in Boreal to cool temperate climates. Topography & Elevation: Found in Moist lowlands, cold mountain slopes, river valleys, shaded understory; Lowland flats to high mountain ridges. Soil & Hydrology: Prefers Mesic to hydric moisture regimes and Cool moist acidic organic soils and heavy loams. Ecological Traits: Very tolerant shade tolerance; Climax understory/canopy species."
"CE_WHITE_CEDAR","Eastern White Cedar","CE","Swamp & Limestone Bluff Specialist Conifer","Boreal and Great Lakes-St. Lawrence climates","Limestone cliff edges, organic cedar swamps, riverbanks","Lowland swamps to rocky limestone bluffs","Wet-mesic to hydric","Alkaline calcareous soils, organic peat, moist limestone","Very tolerant","Climax species in swamps and bluffs","High - Specialized commercial post, pole & shingle timber","Tree Group: Eastern White Cedar (FRI Codes: CE). Ecological Guild: Swamp & Limestone Bluff Specialist Conifer. Climate Niche: Thrives in Boreal and Great Lakes-St. Lawrence climates. Topography & Elevation: Found in Limestone cliff edges, organic cedar swamps, riverbanks; Lowland swamps to rocky limestone bluffs. Soil & Hydrology: Prefers Wet-mesic to hydric moisture regimes and Alkaline calcareous soils, organic peat, moist limestone. Ecological Traits: Very tolerant shade tolerance; Climax species in swamps and bluffs."
"LA_TAMARACK","Tamarack / Larch","LA","Deciduous Lowland Bog Conifer","Boreal to subarctic cold climates","Open peat bogs, fen margins, wet lowlands, swamp edges","Lowland depressions and flat bogs","Hydric to wet-mesic","Wet organic peat, poorly drained cold mineral soils","Very intolerant","Pioneer species on wet bogs","High - Distinctive lowland deciduous conifer","Tree Group: Tamarack / Larch (FRI Codes: LA). Ecological Guild: Deciduous Lowland Bog Conifer. Climate Niche: Thrives in Boreal to subarctic cold climates. Topography & Elevation: Found in Open peat bogs, fen margins, wet lowlands, swamp edges; Lowland depressions and flat bogs. Soil & Hydrology: Prefers Hydric to wet-mesic moisture regimes and Wet organic peat, poorly drained cold mineral soils. Ecological Traits: Very intolerant shade tolerance; Pioneer species on wet bogs."
"HE_EASTERN_HEMLOCK","Eastern Hemlock","HE","Shaded Ravine / Late-Successional Conifer","Great Lakes-St. Lawrence temperate climates","Cool moist ravines, north-facing slopes, shaded lake shores","Upland valleys and shaded slopes","Mesic to wet-mesic","Deep, moist, highly acidic loams and organic soils","Extremely tolerant","Late-successional climax canopy species","High - Key ecological foundation & timber species","Tree Group: Eastern Hemlock (FRI Codes: HE). Ecological Guild: Shaded Ravine / Late-Successional Conifer. Climate Niche: Thrives in Great Lakes-St. Lawrence temperate climates. Topography & Elevation: Found in Cool moist ravines, north-facing slopes, shaded lake shores; Upland valleys and shaded slopes. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Deep, moist, highly acidic loams and organic soils. Ecological Traits: Extremely tolerant shade tolerance; Late-successional climax canopy species."
